# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = gauss_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = gauss_2.data.R
# init = 2 (Default)
# random
#   seed = 1244945196
# output
#   file = gauss_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,s,m
# Adaptation terminated
# Step size = 0.785198
# Diagonal elements of inverse mass matrix:
# 0.358382, 0.547428

-7.10813,0.328278,0.785198,1,1,0,0.7363,0.0296346
-4.61945,1,0.785198,2,3,0,1.36816,0.466309
-5.80615,0.552488,0.785198,2,3,0,0.639816,1.81555
-4.43565,1,0.785198,2,3,0,0.822626,0.87487
-4.33749,0.965333,0.785198,2,3,0,1.77579,1.34933
-4.70784,0.970949,0.785198,3,7,0,0.672624,1.06062
-4.81482,0.254796,0.785198,2,3,0,1.74909,1.94792
-4.888,1,0.785198,1,1,0,1.96636,1.93023
-4.82446,0.976472,0.785198,2,3,0,1.55401,1.98975
-4.55877,0.804574,0.785198,2,3,0,2.02063,0.846665
-4.97633,0.948699,0.785198,2,3,0,0.688057,0.76579
-4.97633,0.671216,0.785198,1,1,0,0.688057,0.76579
-4.97633,0.232644,0.785198,1,1,0,0.688057,0.76579
-4.12979,0.898564,0.785198,3,7,0,1.47656,1.18543
-5.50065,0.872554,0.785198,2,3,0,1.40533,2.31361
-5.06809,1,0.785198,1,1,0,1.36679,2.11497
-5.15864,0.983507,0.785198,1,1,0,1.37616,2.15926
-4.59148,1,0.785198,2,3,0,1.57286,1.82252
-5.81865,0.939207,0.785198,2,3,0,2.34246,2.47509
-6.75932,0.749471,0.785198,2,3,0,1.1536,-0.279547
-4.30502,1,0.785198,2,3,0,1.67072,1.43484
-4.12469,0.947465,0.785198,2,3,0,1.11619,0.920121
-4.80667,0.720928,0.785198,2,3,0,2.29973,1.58898
-5.02574,0.982637,0.785198,1,1,0,2.58929,1.61969
-4.63752,1,0.785198,2,3,0,1.77602,1.78991
-4.39159,0.88343,0.785198,2,3,0,0.836227,1.44053
-4.18376,1,0.785198,3,7,0,1.48454,0.94351
-4.08172,1,0.785198,2,3,0,1.32601,1.28064
-4.6516,0.956294,0.785198,2,3,0,0.907445,0.621261
-5.45252,0.938623,0.785198,2,3,0,1.77279,0.00326225
-4.91276,0.903734,0.785198,3,7,0,2.14762,1.86044
-5.0578,0.987772,0.785198,2,3,0,2.69874,1.52155
-5.3368,0.975037,0.785198,1,1,0,3.14006,1.42368
-5.47577,0.986417,0.785198,1,1,0,3.38549,1.22271
-4.58698,1,0.785198,2,3,0,1.46683,1.83906
-4.58698,0.967922,0.785198,1,1,0,1.46683,1.83906
-5.15811,0.947003,0.785198,2,3,0,2.91728,1.3138
-4.34562,0.850623,0.785198,2,3,0,1.28646,0.668031
