# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = beta_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = beta_4.data.R
# init = 2 (Default)
# random
#   seed = 1169982881
# output
#   file = beta_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.978734
# Diagonal elements of inverse mass matrix:
# 0.376005

-7.98038,0.988382,0.978734,2,3,0,0.450644
-8.569,0.951141,0.978734,2,3,0,0.528868
-8.03359,1,0.978734,1,1,0,0.45967
-7.73458,0.947006,0.978734,2,3,0,0.275579
-8.57073,0.861071,0.978734,2,3,0,0.170558
-8.26122,1,0.978734,1,1,0,0.196248
-8.31422,0.991091,0.978734,1,1,0,0.191304
-8.31393,1,0.978734,1,1,0,0.191331
-8.20771,1,0.978734,1,1,0,0.201532
-8.68294,0.97509,0.978734,2,3,0,0.162769
-8.13252,1,0.978734,1,1,0,0.209536
-7.69224,0.964943,0.978734,2,3,0,0.378989
-7.79587,0.949672,0.978734,2,3,0,0.260277
-7.78699,1,0.978734,1,1,0,0.262258
-7.71391,1,0.978734,2,3,0,0.281925
-7.64887,0.999572,0.978734,2,3,0,0.313637
-7.64429,0.952307,0.978734,2,3,0,0.348495
-7.6443,1,0.978734,3,7,0,0.318388
-7.64096,0.717699,0.978734,2,3,0,0.323223
-8.55091,0.799355,0.978734,2,3,0,0.526937
-8.10702,1,0.978734,1,1,0,0.471195
-11.5543,0.524889,0.978734,3,7,0,0.0634519
-11.0704,1,0.978734,1,1,0,0.0731132
-12.6389,0.905809,0.978734,1,1,0,0.0466973
-11.4963,1,0.978734,1,1,0,0.0645269
-7.63992,1,0.978734,2,3,0,0.325309
-7.64074,0.999806,0.978734,1,1,0,0.323625
-7.65232,0.998017,0.978734,2,3,0,0.310712
-7.81734,0.968261,0.978734,2,3,0,0.255731
-7.71726,1,0.978734,1,1,0,0.280838
-7.65819,0.995276,0.978734,2,3,0,0.306492
-7.68796,0.993259,0.978734,1,1,0,0.291394
-8.19063,0.923339,0.978734,2,3,0,0.203287
-7.88289,0.928862,0.978734,2,3,0,0.432103
-7.81619,1,0.978734,1,1,0,0.417235
-7.97906,0.985922,0.978734,2,3,0,0.450413
-7.7303,1,0.978734,1,1,0,0.393236
-8.62175,0.772669,0.978734,2,3,0,0.534387
