# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = lr_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = lr_3.data.R
# init = 2 (Default)
# random
#   seed = 1170592246
# output
#   file = lr_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta_0,beta_1,beta_2,ys.1,ys.2,ys.3,ys.4
# Adaptation terminated
# Step size = 0.340816
# Diagonal elements of inverse mass matrix:
# 3.07457, 1.41253, 1.25588
-7.8954,0.592186,0.340816,4,15,0,2.89456,0.565689,0.280625,0.947797,0.976917,0.976917,0.947797
-6.63101,1,0.340816,1,1,0,2.89475,0.184829,0.355164,0.914452,0.948302,0.948302,0.914452
-4.52207,0.812811,0.340816,3,7,0,2.87972,-0.0767529,1.26256,0.569019,0.812091,0.812091,0.569019
-3.73461,1,0.340816,2,3,0,2.29332,-0.486563,1.20568,0.35329,0.528596,0.528596,0.35329
-3.86995,0.6532,0.340816,4,11,0,-1.59481,1.40141,-0.262534,0.582164,0.813139,0.813139,0.582164
-3.00105,0.878297,0.340816,3,7,0,0.657454,-0.478765,0.302262,0.395121,0.353809,0.353809,0.395121
-3.09792,0.968354,0.340816,1,1,0,0.460715,-0.462767,0.327115,0.341575,0.311754,0.311754,0.341575
-3.09792,0.5242,0.340816,2,3,0,0.460715,-0.462767,0.327115,0.341575,0.311754,0.311754,0.341575
-3.10509,0.882256,0.340816,2,3,0,0.52215,0.498997,0.544538,0.483024,0.726235,0.726235,0.483024
-3.46873,0.939461,0.340816,3,7,0,1.04704,-1.2334,-0.194434,0.550454,0.227,0.227,0.550454
-3.84694,0.984706,0.340816,4,15,0,0.517021,-1.45214,-0.862297,0.687719,0.178732,0.178732,0.687719
-4.69605,0.937841,0.340816,3,7,0,1.22604,-1.31335,-1.31206,0.926682,0.477866,0.477866,0.926682
-4.66556,0.890153,0.340816,2,3,0,1.622,-0.88931,-0.868958,0.922055,0.670917,0.670917,0.922055
-3.86142,0.875657,0.340816,2,3,0,0.800329,-1.38609,-0.139719,0.424013,0.137985,0.137985,0.424013
-3.39712,1,0.340816,4,15,0,-0.00651771,0.889176,0.305114,0.567689,0.812558,0.812558,0.567689
-2.95074,0.970185,0.340816,3,7,0,-0.16674,0.307478,0.446107,0.3205,0.500527,0.500527,0.3205
-2.92733,0.998826,0.340816,4,15,0,0.636299,-0.506584,0.135153,0.46491,0.37472,0.37472,0.46491
-4.35233,0.789038,0.340816,3,5,0,1.22301,-0.370703,1.4427,0.115773,0.27666,0.27666,0.115773
-4.43503,1,0.340816,2,3,0,1.12679,-0.189382,1.57035,0.0994556,0.305271,0.305271,0.0994556
-5.1851,0.942828,0.340816,3,7,0,1.1452,1.47353,1.02992,0.636196,0.955312,0.955312,0.636196
-4.8215,0.990402,0.340816,3,7,0,-0.745819,0.272568,1.10088,0.0644642,0.213902,0.213902,0.0644642
-3.95293,1,0.340816,2,3,0,-0.0777255,0.339657,1.16372,0.112494,0.363054,0.363054,0.112494
-3.61924,1,0.340816,3,7,0,0.603994,-0.104976,-0.532005,0.826787,0.716273,0.716273,0.826787
-3.37222,0.952983,0.340816,2,3,0,-0.741832,-0.0269652,0.17645,0.245697,0.27444,0.27444,0.245697
-3.37222,0.399151,0.340816,2,3,0,-0.741832,-0.0269652,0.17645,0.245697,0.27444,0.27444,0.245697
-3.47842,0.980097,0.340816,1,1,0,-0.734414,0.0142524,0.286245,0.215404,0.270487,0.270487,0.215404
-5.47639,0.826916,0.340816,2,3,0,1.28911,0.852484,0.114832,0.871236,0.946811,0.946811,0.871236
-5.18139,1,0.340816,3,7,0,-0.580472,-0.855235,0.308039,0.113872,0.069204,0.069204,0.113872
-2.97814,1,0.340816,2,3,0,1.11015,-0.520536,0.24311,0.525827,0.456602,0.456602,0.525827
-2.97814,0.577493,0.340816,3,7,0,1.11015,-0.520536,0.24311,0.525827,0.456602,0.456602,0.525827
-3.22534,0.984113,0.340816,3,7,0,1.41649,-0.928277,0.112573,0.565391,0.365253,0.365253,0.565391
-3.22534,0.31998,0.340816,3,7,0,1.41649,-0.928277,0.112573,0.565391,0.365253,0.365253,0.565391
-3.22534,0.588547,0.340816,2,3,0,1.41649,-0.928277,0.112573,0.565391,0.365253,0.365253,0.565391
-3.89288,0.96098,0.340816,3,7,0,2.66782,-0.96845,0.905935,0.471904,0.456357,0.456357,0.471904
-3.57655,0.966122,0.340816,3,7,0,1.90587,-1.23175,0.143831,0.595428,0.331486,0.331486,0.595428
-4.35402,0.943717,0.340816,4,15,0,1.56097,-1.80224,-0.796374,0.79437,0.223195,0.223195,0.79437
-3.09509,0.983309,0.340816,4,9,0,-0.225419,0.158797,0.475335,0.265555,0.405365,0.405365,0.265555
-3.1088,0.997811,0.340816,1,1,0,-0.229343,0.165158,0.488099,0.261076,0.40441,0.40441,0.261076
-3.02941,0.950614,0.340816,3,7,0,0.412907,0.359151,0.242141,0.571451,0.708698,0.708698,0.571451
