                   Mean           SD        Naive SE       MCSE          ESS    
      z[136]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
      z[124]    1.9270000000  0.260266669 0.0082303547 0.0489455480   28.2755275
       z[69]    1.9750000000  0.156203071 0.0049395748 0.0250000000   39.0390390
      z[169]    1.1550000000  0.362085772 0.0114501575 0.0625610813   33.4976566
       z[31]    1.9950000000  0.070568973 0.0022315869 0.0050000000  199.1991992
       z[32]    1.9930000000  0.083414375 0.0026377941 0.0070000000  141.9991420
      z[144]    1.9980000000  0.044698971 0.0014135056 0.0020000000  499.4994995
       z[12]    1.9740000000  0.159214790 0.0050348137 0.0260000000   37.4990375
      z[175]    1.0930000000  0.290577761 0.0091888756 0.0598154569   23.5992335
      z[102]    1.0080000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[176]    1.0240000000  0.153125594 0.0048422564 0.0229104537   44.6712589
        z[6]    1.9980000000  0.044698971 0.0014135056 0.0020000000  499.4994995
      z[194]    1.9620000000  0.191291904 0.0060491812 0.0380000000   25.3411306
      z[106]    1.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[16]    1.9770000000  0.149978310 0.0047427306 0.0230000000   42.5207817
        z[8]    1.9310000000  0.253580960 0.0080189341 0.0657343137   14.8815791
      z[236]    1.1110000000  0.314289322 0.0099387010 0.0274246442  131.3340228
      z[188]    1.9700000000  0.170672579 0.0053971408 0.0184992492   85.1175851
      z[185]    1.8750000000  0.330884397 0.0104634834 0.0592405642   31.1970986
      z[193]    1.9850000000  0.121613280 0.0038457496 0.0150000000   65.7323991
      z[148]    1.0190000000  0.136593037 0.0043194511 0.0190000000   51.6832622
      z[167]    1.0140000000  0.117549214 0.0037172325 0.0129271463   82.6864098
      z[206]    1.3680000000  0.482502652 0.0152580736 0.0716596896   45.3366643
       z[56]    1.0270000000  0.162164414 0.0051280890 0.0270000000   36.0731101
       z[82]    1.0360000000  0.186383311 0.0058939578 0.0360000000   26.8045824
theta[17][1]    0.7992974978  0.142470206 0.0045053035 0.0167444572   72.3945648
theta[17][2]    0.2007025022  0.142470206 0.0045053035 0.0167444572   72.3945648
      z[123]    1.9760000000  0.153125594 0.0048422564 0.0240000000   40.7073740
       z[73]    1.9950000000  0.070568973 0.0022315869 0.0050000000  199.1991992
       z[35]    1.9860000000  0.117549214 0.0037172325 0.0140000000   70.4990705
      z[122]    1.9610000000  0.193691808 0.0061250728 0.0390000000   24.6656913
 theta[5][1]    0.9106669534  0.161449897 0.0051054940 0.0351471883   21.1005788
 theta[5][2]    0.0893330466  0.161449897 0.0051054940 0.0351471883   21.1005788
     elapsed    1.7489139779  0.227076427 0.0071807871 0.0501739837   20.4826872
       z[97]    1.9940000000  0.077265581 0.0024433522 0.0060000000  165.8324992
      z[164]    1.9890000000  0.104354635 0.0032999833 0.0110000000   89.9990900
       z[36]    1.9920000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[121]    1.9850000000  0.121613280 0.0038457496 0.0150000000   65.7323991
      z[163]    1.8630000000  0.344019403 0.0108788487 0.0817319467   17.7166738
       z[70]    1.9900000000  0.099548530 0.0031480009 0.0100000000   99.0990991
       z[89]    1.1410000000  0.348195692 0.0110109146 0.1031552228   11.3936886
       z[74]    1.9850000000  0.121613280 0.0038457496 0.0150000000   65.7323991
 theta[1][1]    0.1481646393  0.134714101 0.0042600339 0.0259869060   26.8730504
 theta[1][2]    0.8518353607  0.134714101 0.0042600339 0.0259869060   26.8730504
      z[190]    1.9930000000  0.083414375 0.0026377941 0.0070000000  141.9991420
       z[94]    1.9960000000  0.063150519 0.0019969947 0.0040000000  249.2492492
       z[81]    1.0010000000  0.031622777 0.0010000000 0.0010000000 1000.0000000
       z[93]    1.9910000000  0.094487713 0.0029879638 0.0090000000  110.2213324
      z[209]    1.4220000000  0.494125652 0.0156256251 0.0584389520   71.4940604
theta[16][1]    0.1416495739  0.113391647 0.0035857587 0.0066115630  294.1398352
theta[16][2]    0.8583504261  0.113391647 0.0035857587 0.0066115630  294.1398352
      z[257]    1.0150000000  0.121613280 0.0038457496 0.0139243990   76.2797181
      z[204]    1.3330000000  0.471522357 0.0149108462 0.0763333333   38.1571671
      z[139]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[68]    1.9860000000  0.117549214 0.0037172325 0.0140000000   70.4990705
       z[40]    1.9960000000  0.063150519 0.0019969947 0.0040000000  249.2492492
       z[53]    1.0280000000  0.165055273 0.0052195060 0.0280000000   34.7490347
      z[157]    1.9900000000  0.099548530 0.0031480009 0.0100000000   99.0990991
       z[23]    1.9800000000  0.140070053 0.0044294040 0.0200000000   49.0490490
 theta[4][1]    0.3867851125  0.145295173 0.0045946368 0.0220391146   43.4624380
 theta[4][2]    0.6132148875  0.145295173 0.0045946368 0.0220391146   43.4624380
       z[62]    1.0300000000  0.170672579 0.0053971408 0.0300000000   32.3656990
      z[256]    1.0210000000  0.143455845 0.0045364722 0.0188826787   57.7177364
      z[227]    1.9400000000  0.237605674 0.0075137512 0.0376828874   39.7580679
      z[192]    1.2610000000  0.439399672 0.0138950377 0.0653783858   45.1701019
 theta[3][1]    0.1869256151  0.093657152 0.0029616992 0.0043659889  460.1682370
 theta[3][2]    0.8130743849  0.093657152 0.0029616992 0.0043659889  460.1682370
       z[44]    1.8760000000  0.329746467 0.0104274989 0.0828814414   15.8287169
       z[33]    1.4690000000  0.499287781 0.0157888660 0.1492384371   11.1928450
      z[135]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
      z[222]    1.9060000000  0.291974741 0.0092330520 0.0602808243   23.4602264
      z[260]    1.0620000000  0.241276220 0.0076298240 0.0209125162  133.1117703
       z[15]    1.9770000000  0.149978310 0.0047427306 0.0230000000   42.5207817
      z[143]    2.0000000000  0.000000000 0.0000000000 0.0000000000 1000.0000000
       z[29]    1.9920000000  0.089128805 0.0028185003 0.0080000000  124.1241241
      z[201]    1.7570000000  0.429109701 0.0135696402 0.0727865983   34.7563226
      z[170]    1.2730000000  0.445723759 0.0140950229 0.1022529543   19.0011480
      z[150]    1.0090000000  0.094487713 0.0029879638 0.0090000000  110.2213324
       z[79]    1.0030000000  0.054717401 0.0017303162 0.0030000000  332.6659993
      z[103]    1.0040000000  0.063150519 0.0019969947 0.0040000000  249.2492492
      z[232]    1.6140000000  0.487074164 0.0154026375 0.0521365728   87.2780891
      z[147]    1.0100000000  0.099548530 0.0031480009 0.0100000000   99.0990991
      z[120]    1.9930000000  0.083414375 0.0026377941 0.0070000000  141.9991420
       z[67]    1.9850000000  0.121613280 0.0038457496 0.0150000000   65.7323991
       z[85]    1.1350000000  0.341894563 0.0108116554 0.1015135459   11.3432210
       z[21]    1.9770000000  0.149978310 0.0047427306 0.0230000000   42.5207817
      z[225]    1.2250000000  0.417791275 0.0132117202 0.0539186630   60.0399750
       z[99]    1.0030000000  0.054717401 0.0017303162 0.0030000000  332.6659993
      z[248]    1.9500000000  0.218054001 0.0068954730 0.0348329346   39.1875392
      z[238]    1.9480000000  0.222138122 0.0070246242 0.0338559038   43.0504176
      z[180]    1.0310000000  0.173404351 0.0054835271 0.0299054064   33.6217694
      z[161]    1.9900000000  0.099548530 0.0031480009 0.0100000000   99.0990991
